name,rating,number_voted,street,suburb,postcode,lat,lon
The Royal Oak Hotel,70,10,442-444 Nicholson St,Fitzroy North,3068,-37.789462,144.976725
The Sensible Sandwich,66,3,464 Victoria Street North Melbourne,North Melbourne,3051,-37.805103,144.950577
The Spanish Club,60,10,59 Johnston St,Fitzroy,3065,-37.798,144.976776
The Standard Hotel,87,119,293 Fitzroy St,Fitzroy,3065,-37.800694,144.976791
The Workers Club,78,23,51 Brunswick St Fitzroy,Fitzroy,3065,-37.80563,144.977066
The [Milawa] Cheese Shop,83,18,665 Nicholson St,Melbourne,3068,-37.783775,144.977203
Thresherman's Bakehouse,78,92,221 Faraday St,Carlton,3053,-37.798763,144.967117
Tiamo 2,77,159,305 Lygon St,Carlton,3053,-37.798149,144.967224
Tiamo,80,363,303 Lygon St,Carlton,3053,-37.798164,144.967209
Tica Tera's Ristorante,53,15,173 Lygon St,Carlton,3053,-37.801701,144.966583
Tigerlily Cafe,60,15,113 Grattan St,Carlton,3053,-37.800697,144.965652
Tin Pot Cafe,69,111,248 St Georges Rd,Fitzroy North,3068,-37.783478,144.983887
Tina's Aamantran,75,41,129 Lygon St,Carlton,3053,-37.804043,144.966187
Toast,94,17,13 Errol Street,North Melbourne,3051,-37.804626,144.949173
Toki Japanese,65,32,88 grattan st,Carlton,3053,-37.800556,144.966553
Toofey's Seafood,68,16,162 Elgin St,Carlton,3053,-37.797192,144.969208
Toto's Pizza House,75,52,101 Lygon St,Carlton,3053,-37.804565,144.966095
Town Hall Hotel,81,131,166 Johnson Street,Fitzroy,3065,-37.798668,144.980423
Town Hall Hotel,89,167,33 Errol St,Melbourne,3051,-37.804142,144.949265
Trademark Cafe Bar,78,41,201 Queens Pde,Clifton Hill,3068,-37.787132,144.993591
Tramezzini Cafe,91,58,8 Errol St,North Melbourne,3051,-37.80489,144.949448
Trampoline Gelato,78,28,381 Brunswick St,Fitzroy,3065,-37.795773,144.978745
Tramway Hotel,90,66,165 Rae St,Fitzroy North,3068,-37.788467,144.979065
Tre Bicchieri,83,60,623 Rathdowne St,Carlton North,3054,-37.790634,144.971466
Trotters,89,178,400 Lygon St,Carlton,3053,-37.797482,144.967636
Tsubu Bar,83,48,Swanston St University Of Melbourne,Melbourne,3053,-37.798801,144.964233
Tutti I Sapori,84,32,398 Queens Pde,Clifton Hill,3068,-37.787437,144.992249
Two on Rathdowne,64,56,793 Rathdowne St,Carlton North,,-37.785915,144.972244
UNiVERSAL,75,36,139-141lygon st carlton 3053,Carlton,3053,-37.803846,144.96608
Uni Square Cafe,60,10,165 Pelham St,Melbourne,3053,-37.802349,144.961273
Union Club Hotel,79,67,164 Gore Street,Fitzroy,3065,-37.803829,144.982376
University Cafe,70,119,257 Lygon St,Carlton,3053,-37.799465,144.96698
University Hotel,77,18,272 Lygon St,Carlton,,-37.800564,144.967102
Urban Burger,82,82,47 Errol St,North Melbourne,3051,-37.803921,144.949295
Vegie Bar,84,1041,380 Brunswick St,Fitzroy,3065,-37.795841,144.979034
Verve Cafe,55,18,6 Errol St,North Melbourne,03051,-37.805073,144.949432
Via Veneto,27,36,234 Lygon Street,Carlton,3053,-37.801739,144.966919
Via Volare,75,24,326 Brunswick St,Fitzroy,3065,-37.797428,144.978775
Viet Rose,80,101,363 Brunswick St,Fitzroy,3065,-37.796326,144.978622
Villa Romana Trattoria,58,56,252 Lygon St,Carlton,3053,-37.801365,144.96698
Viva,50,10,129 Lygon St,Carlton,3053,-37.804085,144.966187
Wang Fu Jing,66,9,191 Lygon Street,Melbourne,3053,-37.8011676,144.9666671
Warung Agus,89,119,305 Victoria St,Melbourne,3051,-37.805454,144.951187
What's Fishin',91,12,38 Berry St,Clifton Hill,3068,-37.788834,144.997742
Woodstock Cafe,80,84,612 Nicholson St,Carlton North,3068,-37.784863,144.977493
Ying Thai 2,91,235,110 Lygon Street,Carlton,3053,-37.804493,144.966446
Yong Green Food,94,326,421 Brunswick St Fitzroy,Fitzroy,3065,-37.79443,144.978958
Yori Yori Sushi Bar,100,1,73 Victoria Parade,Fitzroy,3065,-37.807983,144.976578
Yozy Kebabs,100,2,120 Dynon Rd,Melbourne,3003,-37.803383,144.931671
Yuanchuanweiguan,33,3,570 Lygon Street,Carlton,3053,-37.793129,144.968399
Yume Japanese Restaurant,65,35,367 Brunswick St,Fitzroy,3065,-37.796246,144.978638
Zenzero Blu,87,32,32 Best St,Fitzroy North,3068,-37.784245,144.983292
Zheng Guan,96,50,563 Nicholson St,Carlton North,3054,-37.786191,144.976628
Zingarella,81,60,189 Lygon St,Carlton,3053,-37.801192,144.966602
Zita's Restaurant &amp; Wine Bar,0,0,160 Rathdowne St,Carlton,3053,-37.79826,144.970169
